,Province,Deaths(M),Deaths(F),Deaths(C),Deaths(T),Injured(M),Injured(F),Injured(C),Injured(T),Date,Cumulative?
10,Sindh,12.0,7.0,13.0,32.0,31.0,44.0,16.0,91.0,2022-08-16,No
4,AJ&K,31.0,17.0,0.0,48.0,15.0,9.0,0.0,24.0,2022-08-16,Yes
11,ICT,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022-08-16,Yes
12,KP,149.0,41.0,116.0,306.0,156.0,79.0,134.0,369.0,2022-08-16,Yes
13,Punjab,94.0,47.0,50.0,191.0,2173.0,1113.0,572.0,3858.0,2022-08-16,Yes
15,Sindh,262.0,126.0,290.0,678.0,2954.0,2211.0,3247.0,8412.0,2022-08-16,Yes
4,AJ&K,31.0,17.0,0.0,48.0,15.0,9.0,0.0,24.0,2022-08-14,Yes
7,GB,5.0,11.0,6.0,22.0,2.0,0.0,3.0,5.0,2022-08-14,Yes
8,ICT,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022-08-14,Yes
11,Punjab,94.0,47.0,50.0,191.0,2173.0,1113.0,572.0,3858.0,2022-08-14,Yes
12,Sindh,246.0,118.0,274.0,638.0,2923.0,2167.0,3231.0,8321.0,2022-08-14,Yes
6,Balochistan,126.0,61.0,83.0,270.0,87.0,35.0,44.0,166.0,2022-08-11,Yes
7,GB,5.0,11.0,6.0,22.0,2.0,0.0,3.0,5.0,2022-08-11,Yes
8,ICT,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022-08-11,Yes
9,KP,143.0,41.0,114.0,298.0,154.0,79.0,135.0,368.0,2022-08-11,Yes
10,Punjab,94.0,47.0,50.0,191.0,2173.0,1113.0,572.0,3858.0,2022-08-11,Yes
4,AJ&K,29.0,15.0,0.0,44.0,15.0,6.0,0.0,21.0,2022-08-10,Yes
8,GB,5.0,11.0,6.0,22.0,2.0,0.0,3.0,5.0,2022-08-10,Yes
9,ICT,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022-08-10,Yes
13,Punjab,94.0,47.0,50.0,191.0,2173.0,1113.0,572.0,3858.0,2022-08-10,Yes
4,AJ&K,29.0,15.0,0.0,44.0,15.0,6.0,0.0,21.0,2022-08-09,Yes
8,GB,5.0,11.0,6.0,22.0,2.0,0.0,3.0,5.0,2022-08-09,Yes
9,ICT,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022-08-09,Yes
13,Punjab,94.0,47.0,50.0,191.0,2173.0,1113.0,572.0,3858.0,2022-08-09,Yes
4,AJ&K,29.0,15.0,0.0,44.0,15.0,6.0,0.0,21.0,2022-08-08,Yes
5,Balochistan,125.0,59.0,79.0,263.0,87.0,35.0,44.0,166.0,2022-08-08,Yes
6,GB,5.0,11.0,6.0,22.0,2.0,0.0,3.0,5.0,2022-08-08,Yes
7,ICT,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022-08-08,Yes
11,Punjab,94.0,47.0,50.0,191.0,2173.0,1113.0,572.0,3858.0,2022-08-08,Yes
8,AJ&K,27.0,15.0,0.0,42.0,15.0,6.0,0.0,21.0,2022-08-05,Yes
9,Balochistan,125.0,59.0,76.0,260.0,86.0,35.0,43.0,164.0,2022-08-05,Yes
10,GB,5.0,11.0,6.0,22.0,2.0,0.0,3.0,5.0,2022-08-05,Yes
11,ICT,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022-08-05,Yes
12,KP,139.0,41.0,109.0,289.0,139.0,79.0,130.0,348.0,2022-08-05,Yes
