,Province,Roads,Bridges,Shops,Houses(PD),Houses(FD),Houses(Total),Livestock,Date,Cumulative?
2,AJ&K,0.0,0.0,20.0,200.0,283.0,483.0,790.0,2022-08-01,Yes
4,GB,16.0,65.0,8.0,681.0,546.0,1227.0,0.0,2022-08-01,Yes
5,ICT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-08-01,Yes
6,KP,1589.0,84.0,0.0,44769.0,31931.0,76700.0,9454.0,2022-08-01,Yes
7,Punjab,130.0,16.0,100.0,29730.0,16590.0,46320.0,205106.0,2022-08-01,Yes
8,Sindh,2328.0,60.0,45.0,616752.0,369349.0,986101.0,18138.0,2022-08-01,Yes
2,AJ&K,0.0,0.0,20.0,197.0,283.0,480.0,790.0,2022-07-31,Yes
4,GB,16.0,65.0,8.0,432.0,503.0,935.0,0.0,2022-07-31,Yes
5,ICT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-31,Yes
6,KP,1589.0,84.0,0.0,42728.0,30233.0,72961.0,9411.0,2022-07-31,Yes
7,Punjab,130.0,16.0,100.0,29730.0,16590.0,46320.0,205104.0,2022-07-31,Yes
8,Sindh,2328.0,60.0,45.0,616339.0,307606.0,923945.0,16513.0,2022-07-31,Yes
2,AJ&K,0.0,0.0,20.0,195.0,280.0,475.0,772.0,2022-07-30,Yes
3,Balochistan,1000.0,18.0,0.0,44110.0,17608.0,61718.0,500000.0,2022-07-30,Yes
4,GB,16.0,65.0,8.0,432.0,503.0,935.0,0.0,2022-07-30,Yes
5,ICT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-30,Yes
6,KP,1589.0,84.0,0.0,24747.0,27109.0,51856.0,9172.0,2022-07-30,Yes
7,Punjab,130.0,16.0,100.0,29730.0,16590.0,46320.0,205104.0,2022-07-30,Yes
8,Sindh,2328.0,60.0,45.0,633788.0,262296.0,896084.0,15435.0,2022-07-30,Yes
4,AJ&K,0.0,0.0,17.0,143.0,250.0,393.0,765.0,2022-07-22,Yes
5,Balochistan,710.0,18.0,0.0,19400.0,7167.0,26567.0,500000.0,2022-07-22,Yes
6,GB,2.0,52.0,0.0,204.0,306.0,510.0,0.0,2022-07-22,Yes
7,ICT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-22,Yes
9,Punjab,33.0,7.0,1.0,16954.0,10943.0,27897.0,13.0,2022-07-22,Yes
10,Sindh,2135.4,45.0,32.0,180678.0,69408.0,250086.0,2884.0,2022-07-22,Yes
2,AJ&K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-19,No
3,Balochistan,0.0,0.0,0.0,275.0,150.0,425.0,392623.0,2022-07-19,No
4,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-19,No
5,ICT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-19,No
6,KP,0.0,0.0,0.0,9.0,3.0,12.0,0.0,2022-07-19,No
7,Punjab,0.0,0.0,0.0,5.0,0.0,5.0,0.0,2022-07-19,No
8,Sindh,0.0,0.0,0.0,13017.0,1334.0,14351.0,7.0,2022-07-19,No
4,AJ&K,0.0,0.0,10.0,137.0,242.0,379.0,746.0,2022-07-19,Yes
5,Balochistan,690.0,18.0,0.0,17060.0,6057.0,23117.0,500000.0,2022-07-19,Yes
6,GB,2.0,52.0,0.0,200.0,303.0,503.0,0.0,2022-07-19,Yes
7,ICT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-19,Yes
8,KP,6.5,7.0,0.0,4005.0,1118.0,5123.0,337.0,2022-07-19,Yes
9,Punjab,33.0,7.0,1.0,6402.0,5978.0,12380.0,13.0,2022-07-19,Yes
10,Sindh,2135.4,45.0,32.0,40910.0,6489.0,47399.0,2007.0,2022-07-19,Yes
7,GB,2.0,52.0,0.0,200.0,303.0,503.0,0.0,2022-07-17,Yes
8,ICT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-17,Yes
9,KP,6.5,7.0,0.0,3948.0,1095.0,5043.0,328.0,2022-07-17,Yes
10,Punjab,33.0,7.0,1.0,6392.0,5978.0,12371.0,13.0,2022-07-17,Yes
11,Sindh,2135.4,45.0,32.0,27893.0,5155.0,33048.0,2000.0,2022-07-17,Yes
4,AJ&K,0.0,0.0,10.0,122.0,229.0,351.0,746.0,2022-07-15,Yes
6,GB,2.0,52.0,0.0,175.0,283.0,458.0,0.0,2022-07-15,Yes
7,ICT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-15,Yes
8,KP,6.5,7.0,0.0,3895.0,1092.0,4986.0,322.0,2022-07-15,Yes
9,Punjab,33.0,7.0,1.0,6391.0,5978.0,12369.0,13.0,2022-07-15,Yes
3,AJ&K,0.0,0.0,10.0,120.0,219.0,339.0,746.0,2022-07-12,Yes
5,GB,2.0,51.0,0.0,162.0,283.0,445.0,0.0,2022-07-12,Yes
6,ICT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-12,Yes
8,KP,6.5,7.0,0.0,3877.0,1090.0,4967.0,322.0,2022-07-12,Yes
10,Punjab,33.0,7.0,1.0,93.0,6.0,99.0,13.0,2022-07-12,Yes
3,AJ&K,0.0,0.0,10.0,120.0,219.0,339.0,746.0,2022-07-11,Yes
5,GB,2.0,51.0,0.0,162.0,283.0,445.0,0.0,2022-07-11,Yes
6,ICT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-11,Yes
8,KP,6.5,7.0,0.0,3873.0,1090.0,4963.0,322.0,2022-07-11,Yes
10,Punjab,33.0,7.0,1.0,92.0,6.0,98.0,13.0,2022-07-11,Yes
1,AJ&K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-06,No
2,Balochistan,0.0,0.0,0.0,1920.0,830.0,2750.0,0.0,2022-07-06,No
3,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-06,No
4,ICT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-06,No
5,KP,0.0,0.0,0.0,95.0,17.0,112.0,0.0,2022-07-06,No
6,Punjab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-06,No
3,AJ&K,0.0,0.0,9.0,110.0,117.0,227.0,745.0,2022-07-06,Yes
4,Balochistan,670.0,16.0,0.0,13385.0,4702.0,18087.0,23013.0,2022-07-06,Yes
5,GB,2.0,51.0,0.0,162.0,283.0,445.0,0.0,2022-07-06,Yes
6,ICT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-06,Yes
8,KP,6.5,7.0,0.0,3817.0,1059.0,4876.0,291.0,2022-07-06,Yes
10,Punjab,0.0,0.0,1.0,91.0,6.0,97.0,13.0,2022-07-06,Yes
11,Sindh,2135.4,45.0,32.0,21863.0,4311.0,26174.0,907.0,2022-07-06,Yes
1,ICT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-05,No
2,Balochistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-05,No
3,KP,0.0,0.0,0.0,267.0,4.0,271.0,23.0,2022-07-05,No
4,Punjab,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2022-07-05,No
5,Sindh,235.4,1.0,0.0,445.0,120.0,565.0,4.0,2022-07-05,No
6,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-05,No
7,AJ&K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-07-05,No
